depth	min95%	max95%	best	accrate
464	10516	11175	10872	44.37
465	10558	11222	10917	44.37
466	10599	11271	10961	44.36
467	10640	11320	11006	44.36
468	10681	11371	11050	44.36
469	10722	11421	11094	44.35
470	10762	11469	11139	44.35
471	10803	11519	11183	44.35
472	10843	11568	11227	44.35
473	10883	11616	11272	44.35
474	10924	11663	11316	44.35
475	10965	11713	11360	44.35
476	11006	11762	11405	44.35
477	11045	11812	11449	44.35
478	11085	11862	11493	44.35
479	11125	11911	11538	44.35
480	11164	11961	11582	44.35
481	11204	12011	11626	44.35
482	11244	12061	11671	44.35
483	11284	12111	11715	44.36
484	11324	12161	11760	44.36
485	11364	12210	11804	44.36
486	11405	12259	11848	44.37
487	11445	12308	11893	44.37
488	11485	12356	11937	44.37
489	11525	12404	11981	44.38
490	11566	12452	12026	44.38
491	11606	12500	12070	44.39
492	11647	12548	12115	44.4
493	11687	12597	12159	44.4
494	11724	12646	12203	44.41
495	11762	12694	12248	44.41
496	11799	12742	12292	44.42
497	11836	12791	12337	44.43
498	11875	12839	12381	44.44
499	11913	12887	12425	44.45
500	11952	12935	12470	44.45
501	11992	12985	12514	44.46
502	12032	13035	12559	44.47
503	12073	13084	12603	44.48
504	12114	13133	12648	44.48
505	12157	13183	12692	44.49
506	12199	13232	12737	44.5
507	12242	13280	12781	44.5
508	12286	13328	12826	44.51
509	12329	13375	12870	44.52
510	12373	13426	12915	44.52
511	12416	13477	12959	44.53
512	12458	13527	13004	44.53
513	12502	13578	13048	44.54
514	12545	13629	13093	44.54
515	12590	13678	13137	44.54
516	12632	13725	13182	44.55
517	12673	13771	13226	44.55
518	12714	13816	13271	44.55
519	12757	13861	13316	44.56
520	12798	13907	13360	44.56
521	12838	13954	13405	44.56
522	12879	14000	13449	44.56
523	12922	14046	13494	44.56
524	12964	14093	13538	44.57
525	13007	14143	13583	44.57
526	13049	14193	13628	44.57
527	13089	14240	13672	44.57
528	13131	14286	13717	44.57
529	13173	14335	13761	44.57
530	13215	14383	13806	44.57
531	13257	14431	13850	44.56
532	13298	14479	13895	44.56
533	13341	14527	13939	44.56
534	13384	14574	13984	44.56
535	13426	14620	14029	44.56
536	13467	14666	14073	44.55
537	13509	14713	14118	44.55
538	13550	14762	14162	44.55
539	13592	14811	14207	44.55
540	13634	14860	14251	44.54
541	13675	14909	14296	44.54
542	13717	14959	14340	44.53
543	13759	15008	14385	44.53
544	13799	15055	14430	44.52
545	13838	15104	14474	44.52
546	13881	15154	14519	44.51
547	13923	15203	14563	44.51
548	13964	15250	14608	44.5
549	14004	15297	14652	44.49
550	14044	15346	14697	44.49
551	14084	15396	14741	44.48
552	14125	15445	14786	44.47
553	14163	15494	14830	44.46
554	14202	15543	14874	44.46
555	14241	15593	14919	44.45
556	14280	15641	14963	44.44
557	14320	15687	15008	44.43
558	14361	15733	15052	44.42
559	14402	15781	15097	44.41
560	14443	15826	15141	44.4
561	14483	15876	15185	44.39
562	14524	15925	15230	44.38
563	14565	15973	15274	44.37
564	14606	16018	15319	44.36
565	14647	16063	15363	44.35
566	14686	16112	15407	44.33
567	14729	16163	15452	44.32
568	14771	16212	15496	44.31
569	14813	16260	15540	44.3
570	14855	16307	15585	44.28
571	14899	16352	15629	44.27
572	14941	16397	15673	44.26
573	14982	16442	15717	44.24
574	15024	16494	15762	44.23
575	15063	16547	15806	44.21
576	15102	16595	15850	44.2
577	15146	16638	15894	44.18
578	15191	16680	15938	44.17
579	15235	16723	15983	44.15
580	15278	16770	16027	44.14
581	15318	16820	16071	44.12
582	15353	16870	16115	44.1
583	15388	16920	16159	44.09
584	15426	16970	16203	44.07
585	15468	17020	16247	44.05
586	15512	17070	16291	44.03
587	15554	17117	16335	44.02
588	15594	17163	16379	44
589	15636	17209	16423	43.98
590	15678	17254	16467	43.96
591	15721	17300	16511	43.94
592	15764	17346	16555	43.92
593	15807	17396	16599	43.9
594	15851	17444	16643	43.88
595	15894	17492	16687	43.86
596	15939	17540	16731	43.84
597	15984	17589	16775	43.82
598	16031	17637	16818	43.79
599	16077	17685	16862	43.77
600	16115	17732	16906	43.75
601	16153	17782	16950	43.73
602	16188	17830	16994	43.7
603	16227	17877	17037	43.68
604	16270	17925	17081	43.66
605	16312	17973	17125	43.63
606	16349	18023	17168	43.61
607	16383	18075	17212	43.58
608	16416	18127	17255	43.56
609	16452	18178	17299	43.53
610	16484	18228	17342	43.51
611	16516	18278	17386	43.48
612	16547	18329	17429	43.46
613	16573	18379	17473	43.43
614	16604	18429	17516	43.4
615	16635	18485	17560	43.38
616	16668	18540	17603	43.35
617	16705	18602	17646	43.32
618	16747	18664	17690	43.3
619	16782	18713	17733	43.27
620	16816	18760	17776	43.24
621	16846	18815	17820	43.21
622	16876	18874	17863	43.18
623	16905	18932	17906	43.15
624	16931	18985	17949	43.12
625	16951	19041	17992	43.09
626	16971	19094	18035	43.06
627	16992	19145	18078	43.03
628	17015	19196	18121	43
629	17054	19248	18164	42.97
630	17097	19307	18207	42.94
631	17119	19363	18250	42.91
