depth	min95%	max95%	best	accrate
460	11017	12345	11898	34.15
461	11053	12384	11932	34.03
462	11091	12424	11966	33.91
463	11130	12461	12000	33.79
464	11168	12501	12033	33.68
465	11206	12538	12067	33.56
466	11244	12575	12101	33.45
467	11282	12612	12134	33.34
468	11319	12648	12167	33.24
469	11356	12685	12201	33.13
470	11393	12721	12234	33.03
471	11430	12758	12267	32.92
472	11469	12796	12300	32.82
473	11506	12833	12333	32.73
474	11540	12870	12365	32.63
475	11574	12906	12398	32.54
476	11610	12948	12430	32.44
477	11646	12991	12463	32.35
478	11682	13032	12495	32.26
479	11717	13069	12528	32.18
480	11753	13105	12560	32.09
481	11788	13141	12592	32.01
482	11824	13176	12624	31.93
483	11859	13211	12656	31.85
484	11891	13245	12688	31.77
485	11923	13280	12719	31.69
486	11955	13314	12751	31.62
487	11987	13349	12783	31.55
488	12018	13385	12814	31.48
489	12050	13422	12846	31.41
490	12082	13458	12877	31.34
491	12114	13493	12908	31.28
492	12147	13527	12940	31.21
493	12182	13560	12971	31.15
494	12216	13594	13002	31.09
495	12251	13627	13033	31.04
496	12285	13660	13064	30.98
497	12320	13693	13095	30.93
498	12354	13726	13126	30.88
499	12389	13759	13157	30.83
500	12423	13794	13188	30.78
501	12457	13828	13219	30.73
502	12491	13862	13249	30.68
503	12527	13897	13280	30.64
504	12563	13931	13311	30.59
505	12598	13965	13341	30.54
506	12634	13999	13372	30.5
507	12670	14034	13402	30.45
508	12705	14069	13433	30.41
509	12740	14104	13463	30.36
510	12773	14138	13494	30.32
511	12806	14173	13524	30.27
512	12838	14207	13554	30.23
513	12871	14242	13584	30.18
514	12904	14276	13615	30.14
515	12936	14311	13645	30.1
516	12969	14347	13675	30.05
517	13001	14384	13705	30.01
518	13033	14419	13735	29.97
519	13066	14454	13765	29.93
520	13098	14489	13795	29.88
521	13130	14525	13825	29.84
522	13162	14562	13854	29.8
523	13194	14596	13884	29.76
524	13226	14627	13914	29.72
525	13258	14661	13944	29.68
526	13290	14695	13973	29.64
527	13321	14729	14003	29.6
528	13353	14760	14033	29.56
529	13384	14791	14062	29.52
530	13416	14822	14092	29.49
531	13447	14853	14121	29.45
532	13479	14884	14151	29.41
533	13510	14914	14180	29.37
534	13541	14947	14209	29.34
535	13572	14980	14239	29.3
536	13604	15013	14268	29.26
537	13635	15048	14297	29.23
538	13669	15084	14327	29.19
539	13697	15120	14356	29.15
540	13727	15156	14385	29.12
541	13758	15192	14414	29.08
542	13788	15228	14443	29.05
543	13819	15264	14472	29.02
544	13849	15300	14501	28.98
545	13879	15336	14530	28.95
546	13910	15370	14559	28.91
547	13940	15403	14588	28.88
548	13971	15436	14617	28.85
549	14001	15470	14646	28.82
550	14032	15503	14675	28.78
551	14062	15536	14703	28.75
552	14093	15569	14732	28.72
553	14123	15602	14761	28.69
554	14154	15635	14790	28.66
555	14183	15668	14818	28.63
556	14212	15701	14847	28.6
557	14239	15734	14875	28.57
558	14267	15767	14904	28.54
559	14301	15800	14933	28.51
560	14331	15833	14961	28.48
561	14361	15865	14990	28.45
562	14390	15898	15018	28.43
563	14420	15931	15046	28.4
564	14449	15963	15075	28.37
565	14474	15996	15103	28.34
566	14502	16028	15132	28.32
567	14532	16062	15160	28.29
568	14563	16095	15188	28.26
569	14592	16129	15216	28.24
570	14619	16163	15245	28.21
571	14643	16197	15273	28.19
572	14673	16231	15301	28.16
573	14708	16265	15329	28.14
574	14741	16299	15357	28.11
575	14767	16332	15385	28.09
576	14793	16366	15414	28.06
577	14819	16400	15442	28.04
578	14846	16433	15470	28.02
579	14882	16467	15498	27.99
580	14909	16501	15526	27.97
581	14935	16536	15554	27.95
582	14960	16570	15582	27.93
583	14985	16604	15609	27.91
584	15012	16638	15637	27.89
585	15040	16672	15665	27.86
586	15065	16706	15693	27.84
587	15093	16740	15721	27.82
588	15121	16775	15749	27.8
589	15150	16809	15777	27.78
590	15182	16843	15804	27.77
591	15214	16877	15832	27.75
592	15247	16911	15860	27.73
593	15275	16942	15888	27.71
594	15301	16973	15915	27.69
595	15326	17004	15943	27.67
596	15351	17035	15971	27.66
597	15377	17066	15998	27.64
598	15406	17097	16026	27.62
599	15437	17128	16054	27.61
600	15464	17160	16081	27.59
601	15491	17192	16109	27.57
602	15520	17225	16136	27.56
603	15552	17259	16164	27.54
604	15584	17292	16192	27.53
605	15616	17325	16219	27.52
